,,,,,,,,,,
,,BEST PvP POKEMON,,,,,,,,
,,,,,,,,,,
,Select League,,Great League,,,,Max 1500CP,,,
,,,,,,,,,,
,Pokemon,Score,Type,Type,Fast Move,Charged Move 1,Count,Charged Move 2,Count,2nd Move Cost
,Registeel,97.3,,FALSE,Lock On,Focus Blast,15,Zap Cannon,16,"100,000"
,Stunfisk (Galarian),96.8,,,Mud Shot,Rock Slide,5,Earthquake,8,"75,000"
,Scrafty,95,,,Counter,Foul Play,7,Power-Up Punch,5,"50,000"
,Medicham (XL),94.9,,,Counter,Ice Punch,6,Psychic,8,"50,000"
,Swampert,94.8,,,Mud Shot,Hydro Cannon,5,Earthquake,8,"10,000"
,Shadow Swampert,94,,,Mud Shot,Hydro Cannon,5,Earthquake,8,"10,000"
,Trevenant,93.8,,,Shadow Claw,Seed Bomb,5,Shadow Ball,7,"75,000"
,Bastiodon (XL),93.6,,,Smack Down,Stone Edge,7,Flamethrower,7,"75,000"
,Pelipper,93.6,,,Wing Attack,Weather Ball (Water),5,Hurricane,9,"50,000"
,Noctowl,93.5,,,Wing Attack,Sky Attack,6,Shadow Ball,7,"10,000"
,Altaria,92.6,,,Dragon Breath,Sky Attack,15,Moonblast,20,"10,000"
,Gliscor,92.6,,,Wing Attack,Earthquake,9,Night Slash,5,"75,000"
,Lickitung (XL),92.6,,FALSE,Lick,Body Slam,12,Power Whip,17,"50,000"
,Lanturn,92.3,,,Spark,Surf,5,Thunderbolt,7,"50,000"
,Pidgeot,91.7,,,Wing Attack,Feather Dance,7,Brave Bird,7,"10,000"
,Sableye (XL),91.6,,,Shadow Claw,Foul Play,6,Return,9,"75,000"
,Dubwool,91.3,,FALSE,Double Kick,Body Slam,3,Payback,5,"10,000"
,Shadow Gliscor,91.2,,,Wing Attack,Earthquake,9,Night Slash,5,"75,000"
,Shadow Registeel,91.1,,FALSE,Lock On,Focus Blast,15,Zap Cannon,16,"100,000"
,Shadow Machamp,90.9,,FALSE,Counter,Cross Chop,5,Rock Slide,7,"50,000"
,Mandibuzz,90.5,,,Snarl,Foul Play,4,Aerial Ace,4,"75,000"
,Mantine,90.5,,,Wing Attack,Bubble Beam,5,Ice Beam,7,"75,000"
,Whiscash,90.4,,,Mud Shot,Mud Bomb,5,Blizzard,9,"10,000"
,Umbreon,90.3,,FALSE,Snarl,Foul Play,4,Last Resort,5,"75,000"
,Diggersby (XL),90.1,,,Mud Shot,Fire Punch,5,Earthquake,8,"10,000"
,Guzzlord,90.1,,,Dragon Tail,Dragon Claw,4,Crunch,5,"100,000"
,Regirock,90.1,,FALSE,Lock On,Stone Edge,11,Focus Blast,15,"100,000"
,Vigoroth,90.1,,FALSE,Counter,Body Slam,5,Bulldoze,9,"75,000"
,Shadow Ninetales (Alolan),90,,,Powder Snow,Weather Ball (Ice),5,Dazzling Gleam,9,"50,000"
,Wobbuffet (XL),90,,FALSE,Counter,Return,10,Mirror Coat,8,"50,000"
,Kommo-o,89.9,,,Dragon Tail,Close Combat,5,Dragon Claw,4,"75,000"
,Ninetales (Alolan),89.8,,,Powder Snow,Weather Ball (Ice),5,Dazzling Gleam,9,"50,000"
,Jellicent,89.7,,,Hex,Surf,4,Shadow Ball,5,"50,000"
,Deoxys (Defense),89.3,,FALSE,Counter,Psycho Boost,5,Thunderbolt,8,"100,000"
,Aurorus,89.2,,,Powder Snow,Weather Ball (Ice),5,Meteor Beam,8,"75,000"
,Cresselia,88.8,,FALSE,Psycho Cut,Grass Knot,6,Moonblast,7,"100,000"
,Shadow Abomasnow,88.7,,,Powder Snow,Weather Ball (Ice),5,Energy Ball,7,"50,000"
,Machamp,88.7,,FALSE,Counter,Cross Chop,5,Rock Slide,7,"50,000"
,Shadow Dragonite,88.5,,,Dragon Breath,Dragon Claw,12,Superpower,14,"75,000"
,Toxapex,88.5,,,Poison Jab,Brine,8,Sludge Wave,10,"50,000"
,Shadow Walrein,88.5,,,Powder Snow,Icicle Spear,5,Earthquake,9,"50,000"
,Togedemaru,88.3,,,Thunder Shock,Fell Stinger,4,Wild Charge,5,"50,000"
,Lurantis,88.2,,FALSE,Fury Cutter,Leaf Blade,9,Superpower,10,"50,000"
,Azumarill (XL),87.9,,,Bubble,Ice Beam,5,Play Rough,6,"50,000"
,Pachirisu (XL),87.8,,FALSE,Volt Switch,Thunder Punch,3,Thunderbolt,4,"75,000"
,Skarmory,87.8,,,Air Slash,Brave Bird,7,Sky Attack,5,"75,000"
,Snorlax,87.8,,FALSE,Lick,Body Slam,12,Superpower,14,"75,000"
,Zweilous,87.8,,,Dragon Breath,Body Slam,12,Dark Pulse,17,"75,000"
,Steelix,87.7,,,Dragon Tail,Psychic Fangs,4,Earthquake,8,"75,000"
,Froslass,87.5,,,Powder Snow,Avalanche,6,Shadow Ball,7,"50,000"
,,,,,,,,,,
,Sources used - ,,,Pokemon PvP Rankings,,Pokemon PvP IV's - ,,PvP IV checker,,
,,,,,,,,,,
,Created by MyFeetAreMankey,,,5353 5577 5997,,Twitter,,Instagram,,
